Date,TemperatureCMax,TemperatureCMin,TemperatureCAvg,TdAvgC,HrAvg,WindkmhDir,WindkmhInt,PresslevHp,Precmm,TotClOct,lowClOct,SunD1h,VisKm,station_ID,WindkmhGust,PreselevHp,SnowDepcm
2020-12-01,31.8,24.6,27.1,24.2,83.6,NE,4.9,1009.3,12.2,7.0,1.6,4.3,12.4,48698,NA,NA,NA
2020-12-02,33.5,26.1,28.2,24.7,82.7,NNW,4.4,1008.8,5.0,7.0,1.8,8.2,11.8,48698,NA,NA,NA
2020-12-03,31.6,24.3,28,24.7,82.8,ENE,9.7,1008.6,0.0,7.0,1.4,2.3,12.5,48698,NA,NA,NA
2020-12-04,32.9,24.4,26.1,23.6,87.2,N,13.9,1009.2,18.9,7.0,1.9,6.6,11.5,48698,NA,NA,NA
2020-12-05,31.0,25.4,27,23.5,82.0,NNE,17.8,1010.2,0.4,7.0,2.2,3.3,10.8,48698,NA,NA,NA
2020-12-06,31.3,25.5,27.2,23.2,79.2,NNE,21.3,1010.3,Tr,7.0,1.6,2.0,13.8,48698,NA,NA,NA
2020-12-07,32.0,25.8,28.2,23.3,75.4,NNE,22.2,1010.5,0.0,7.0,1.8,7.3,12.1,48698,NA,NA,NA
2020-12-08,32.5,24.2,27.9,23.7,78.8,N,11.8,1010.9,10.0,7.0,2.0,7.9,10.8,48698,NA,NA,NA
2020-12-09,32.6,25.5,27.9,23.7,78.6,NNE,19.2,1010.2,0.0,7.0,2.1,7.9,14.5,48698,NA,NA,NA
2020-12-10,32.0,23.8,27.1,24.3,86.6,NNE,11.4,1009.1,59.0,7.1,2.9,6.3,10.5,48698,NA,NA,NA
2020-12-11,32.8,23.5,26,22.9,83.2,NNW,5.3,1009.9,41.2,7.1,1.2,5.5,10.9,48698,NA,NA,NA
2020-12-12,32.7,25.1,28,23.5,77.8,NNW,6.3,1009.3,2.0,7.0,2.9,9.2,12.8,48698,NA,NA,NA
2020-12-13,31.4,23.0,25.7,22.3,83.2,NW,7.2,1009.1,29.0,7.2,2.5,2.5,10.1,48698,NA,NA,NA
2020-12-14,31.7,25.0,27.7,23.5,79.2,N,5.8,1008.5,0.8,7.0,2.5,5.0,11.0,48698,NA,NA,NA
2020-12-15,31.9,24.5,26.2,23.5,85.9,NNE,6.3,1009.7,20.6,7.1,2.9,5.3,10.9,48698,NA,NA,NA
